text,label
"कृपया ध्यान दें: आपका बैंक खाता निलंबित हो गया है। कृपया अपना खाता पुनः सक्रिय करें।",1
"आपको लाखों रुपए जीतने का मौका मिला है! अब कॉल करें और अपनी जीत प्राप्त करें!",1
"हेल्थ इंश्योरेंस के लिए हमारे योजनाओं की जाँच करें और आपके परिवार की सुरक्षा का सही फैसला करें।",0
"मित्रों के साथ आज रात का प्लान बनाएं और मौज में मस्ती करें।",0
"हैप्पी बर्थडे! इस खास दिन को खूबसूरत बनाएं और खुश रहें।",0
"क्या आप नई जीत चुके हैं? आप लाखों रुपये जीत सकते हैं!",1
"कल हमारे स्कूल के बच्चों के खिलौने बाजार में हैं।",0
"आपका बैंक खाता ब्लॉक हो गया है! कृपया तुरंत संपर्क करें.",1
"आपका दोस्त आज शाम को मिलने का कह रहा है।",0
"मोबाइल लोन के लिए 50% की छूट! अभी कॉल करें.",1
"क्या आप आज रात किसी पार्टी में आएंगे?",0
"आपके नौकरी के बारे में ताजा समाचार: आपको पद की स्थिति मिल गई है।",0
"मुझे जिम से लौटने में देर हो जाएगी।",0
"क्या आप अपना क्रेडिट कार्ड डिटेल्स साझा करना चाहेंगे?",1
"आपके पास एक नया संदेश है! कृपया जल्दी देखें.",1
"क्या आप अपने मोबाइल बिल का भुगतान कर देंगे?",1
"सरकारी नौकरी के लिए आवेदन करें - आवश्यकता हो तो कॉल करें.",1
"आपका ऑनलाइन खाता सक्रिय करने के लिए यहाँ क्लिक करें.",1
"क्या आपको फेसबुक पर नए मित्र की आवश्यकता है?",1
"आपका समय साझा करने का संदेश: आज दोपहर 3 बजे मिलें!",0
"आपकी बीमा पॉलिसी के बारे में महत्वपूर्ण सूचना: प्रीमियम जल्द ही बढ़ जाएगा।",1
"सप्ताहांत के योजनों के बारे में जानकारी: संग्रहणी सुन्दर होने वाली है।",0
"क्या आपके पास खाली समय है? हमें मिलकर खुशी होगी!",0
"क्या आपने वित्तीय निवेश की योजना बनाई है?",0
"अपने वीडियो कॉलिंग के लिए इस ऐप का उपयोग करें!",0
"आपका डिजिटल वॉलेट पासवर्ड बदल दिया गया है।",1
"स्वास्थ्य सुरक्षा के लिए आवश्यक सुझाव: कोविड-19 के खिलाफ टीका लगवाएं।",0
"क्या आपके पास एक शानदार दिन था?",0
"क्या आपने आज तक अपना व्यक्तिगत लक्ष्य प्राप्त किया है?",0
"आपकी वेबसाइट पर अधिक ट्रैफिक प्राप्त हो रहा है।",0
"क्या आप आज रात फिल्म देखने के लिए आएंगे?",0
"आपका पासवर्ड बदल दिया गया है। कृपया सुरक्षित रखें.",1

